Sequence Name,Name,Type,Minimum,Maximum,Length
Adi_10,Segmento_K1,motif,214,258,45
Adi_10,Segmento_K2,motif,382,426,45
Adi_10,Segmento_phi,motif,190,210,21
Adi_10,Segmento_S,motif,61,75,15
Adi_12,Bdhn4_E1,exon,1,76,76
Adi_12,Bdhn4_E2,exon,187,435,249
Adi_12,Segmento_K1,motif,214,258,45
Adi_12,Segmento_K2,motif,382,426,45
Adi_12,Segmento_phi,motif,190,210,21
Adi_12,Segmento_S,motif,61,75,15
Arn1,Bdhn4_E1,exon,1,76,76
Arn1,Bdhn5_E2,exon,190,432,243
Arn1,Segmento_K1,motif,217,261,45
Arn1,Segmento_K2,motif,379,423,45
Arn1,Segmento_phi,motif,193,213,21
Arn1,Segmento_S,motif,61,75,15
Bd2_3,Bdhn4_E1,exon,1,76,76
Bd2_3,Bdhn4_E2,exon,187,435,249
Bd2_3,Segmento_K1,motif,214,258,45
Bd2_3,Segmento_K2,motif,382,426,45
Bd2_3,Segmento_phi,motif,190,210,21
Bd2_3,Segmento_S,motif,61,75,15
Bd18_1,Bdhn4_E1,exon,1,76,76
Bd18_1,Bdhn4_E2,exon,187,435,249
Bd18_1,Segmento_K1,motif,214,258,45
Bd18_1,Segmento_K2,motif,382,426,45
Bd18_1,Segmento_phi,motif,190,210,21
Bd18_1,Segmento_S,motif,61,75,15
Bd21.v3,Bdhn4_E1,exon,1,76,76
Bd21.v3,Bdhn4_E2,exon,187,435,249
Bd21.v3,Segmento_K1,motif,214,258,45
Bd21.v3,Segmento_K2,motif,382,426,45
Bd21.v3,Segmento_phi,motif,190,210,21
Bd21.v3,Segmento_S,motif,61,75,15
Bd21_3,Bdhn4_E1,exon,1,76,76
Bd21_3,Bdhn4_E2,exon,187,435,249
Bd21_3,Segmento_K1,motif,214,258,45
Bd21_3,Segmento_K2,motif,382,426,45
Bd21_3,Segmento_phi,motif,190,210,21
Bd21_3,Segmento_S,motif,61,75,15
Bd29_1,Bdhn4_E1,exon,1,76,76
Bd29_1,Bdhn4_E2,exon,190,432,243
Bd29_1,Segmento_K1,motif,217,261,45
Bd29_1,Segmento_K2,motif,379,423,45
Bd29_1,Segmento_phi,motif,193,213,21
Bd29_1,Segmento_S,motif,61,75,15
BdhnBsta5,BdhnBsta5,exon,1,171,171
BdhnBsta5,BdhnBsta5,exon,172,399,228
BdhnBsta5,Segmento_S,motif,154,171,18
BdhnBsta5,Segmento_K2,motif,346,390,45
BdhnBsta5,Segmento_K1,motif,202,243,42
BdhnBsta5,Segmento_Y,motif,43,63,21
BdhnBsta5,Segmento_phi,motif,175,195,21
BdTR1i,Bdhn4_E1,exon,1,76,76
BdTR1i,Bdhn4_E2,exon,187,435,249
BdTR1i,Segmento_K1,motif,214,258,45
BdTR1i,Segmento_K2,motif,382,426,45
BdTR1i,Segmento_phi,motif,190,210,21
BdTR1i,Segmento_S,motif,61,75,15
BdTR2B,Bdhn4_E1,exon,1,76,76
BdTR2B,Bdhn4_E2,exon,187,435,249
BdTR2B,Segmento_K1,motif,214,258,45
BdTR2B,Segmento_K2,motif,382,426,45
BdTR2B,Segmento_phi,motif,190,210,21
BdTR2B,Segmento_S,motif,61,75,15
BdTR2G,Bdhn4_E1,exon,1,76,76
BdTR2G,Bdhn4_E2,exon,187,435,249
BdTR2G,Segmento_K1,motif,214,258,45
BdTR2G,Segmento_K2,motif,382,426,45
BdTR2G,Segmento_phi,motif,190,210,21
BdTR2G,Segmento_S,motif,61,75,15
BdTR3C,Bdhn4_E1,exon,1,76,76
BdTR3C,Bdhn4_E2,exon,187,435,249
BdTR3C,Segmento_K1,motif,214,258,45
BdTR3C,Segmento_K2,motif,382,426,45
BdTR3C,Segmento_phi,motif,190,210,21
BdTR3C,Segmento_S,motif,61,75,15
BdTR5I,Bdhn4_E1,exon,1,76,76
BdTR5I,Bdhn4_E2,exon,187,435,249
BdTR5I,Segmento_K1,motif,214,258,45
BdTR5I,Segmento_K2,motif,382,426,45
BdTR5I,Segmento_phi,motif,190,210,21
BdTR5I,Segmento_S,motif,61,75,15
BdTR7a,Bdhn4_E1,exon,1,76,76
BdTR7a,Bdhn4_E2,exon,190,432,243
BdTR7a,Segmento_K1,motif,217,261,45
BdTR7a,Segmento_K2,motif,379,423,45
BdTR7a,Segmento_phi,motif,193,213,21
BdTR7a,Segmento_S,motif,61,75,15
BdTR8i,Bdhn4_E1,exon,1,76,76
BdTR8i,Bdhn5_E2,exon,190,432,243
BdTR8i,Segmento_K1,motif,217,261,45
BdTR8i,Segmento_K2,motif,379,423,45
BdTR8i,Segmento_phi,motif,193,213,21
BdTR8i,Segmento_S,motif,61,75,15
BdTR9K,Bdhn4_E1,exon,1,76,76
BdTR9K,Bdhn4_E2,exon,187,435,249
BdTR9K,Segmento_K1,motif,214,258,45
BdTR9K,Segmento_K2,motif,382,426,45
BdTR9K,Segmento_phi,motif,190,210,21
BdTR9K,Segmento_S,motif,61,75,15
BdTR10,Bdhn5_E2,exon,379,627,249
BdTR10,Bdhn4_E1,exon,1,76,76
BdTR10,Segmento_K1,motif,406,450,45
BdTR10,Segmento_K2,motif,574,618,45
BdTR10,Segmento_phi,motif,382,402,21
BdTR10,Segmento_S,motif,249,266,18
BdTR10,Segmento_S,motif,61,75,15
BdTR11A,Bdhn4_E1,exon,1,76,76
BdTR11A,Bdhn4_E2,exon,187,435,249
BdTR11A,Segmento_K1,motif,214,258,45
BdTR11A,Segmento_K2,motif,382,426,45
BdTR11A,Segmento_phi,motif,190,210,21
BdTR11A,Segmento_S,motif,61,75,15
BdTR11G,Bdhn4_E1,exon,1,76,76
BdTR11G,Bdhn4_E2,exon,187,435,249
BdTR11G,Segmento_K1,motif,214,258,45
BdTR11G,Segmento_K2,motif,382,426,45
BdTR11G,Segmento_phi,motif,190,210,21
BdTR11G,Segmento_S,motif,61,75,15
BdTR11I,Bdhn4_E1,exon,1,76,76
BdTR11I,Bdhn4_E2,exon,187,435,249
BdTR11I,Segmento_K1,motif,214,258,45
BdTR11I,Segmento_K2,motif,382,426,45
BdTR11I,Segmento_phi,motif,190,210,21
BdTR11I,Segmento_S,motif,61,75,15
BdTR12c,Bdhn4_E1,exon,1,76,76
BdTR12c,Bdhn4_E2,exon,187,435,249
BdTR12c,Segmento_K1,motif,214,258,45
BdTR12c,Segmento_K2,motif,382,426,45
BdTR12c,Segmento_phi,motif,190,210,21
BdTR12c,Segmento_S,motif,61,75,15
BdTR13a,Bdhn4_E1,exon,1,76,76
BdTR13a,Bdhn4_E2,exon,187,435,249
BdTR13a,Segmento_K1,motif,214,258,45
BdTR13a,Segmento_K2,motif,382,426,45
BdTR13a,Segmento_phi,motif,190,210,21
BdTR13a,Segmento_S,motif,61,75,15
BdTR13C,Bdhn4_E1,exon,1,76,76
BdTR13C,Bdhn4_E2,exon,187,435,249
BdTR13C,Segmento_K1,motif,214,258,45
BdTR13C,Segmento_K2,motif,382,426,45
BdTR13C,Segmento_phi,motif,190,210,21
BdTR13C,Segmento_S,motif,61,75,15
Bis_1,Bdhn4_E1,exon,1,76,76
Bis_1,Bdhn4_E2,exon,187,435,249
Bis_1,Segmento_K1,motif,214,258,45
Bis_1,Segmento_K2,motif,382,426,45
Bis_1,Segmento_phi,motif,190,210,21
Bis_1,Segmento_S,motif,61,75,15
Foz1,Bdhn4_E2,exon,175,423,249
Foz1,Segmento_K1,motif,202,246,45
Foz1,Segmento_K2,motif,370,414,45
Foz1,Segmento_phi,motif,178,198,21
Foz1,Segmento_S,motif,49,63,15
Foz2,Bdhn4_E1,exon,1,76,76
Foz2,Bdhn4_E2,exon,187,435,249
Foz2,Segmento_K1,motif,214,258,45
Foz2,Segmento_K2,motif,382,426,45
Foz2,Segmento_phi,motif,190,210,21
Foz2,Segmento_S,motif,61,75,15
Gaz8,Bdhn4_E1,exon,1,76,76
Gaz8,Bdhn4_E2,exon,187,435,249
Gaz8,Segmento_K2,motif,382,426,45
Gaz8,Segmento_K1,motif,214,258,45
Gaz8,Segmento_phi,motif,190,210,21
Gaz8,Segmento_S,motif,61,75,15
Jer1,Bdhn4_E1,exon,1,76,76
Jer1,Bdhn5_E2,exon,190,435,246
Jer1,Segmento_K1,motif,217,261,45
Jer1,Segmento_K2,motif,382,426,45
Jer1,Segmento_phi,motif,193,213,21
Jer1,Segmento_S,motif,61,75,15
Kah_1,Bdhn4_E1,exon,1,76,76
Kah_1,Bdhn4_E2,exon,187,435,249
Kah_1,Segmento_K1,motif,214,258,45
Kah_1,Segmento_K2,motif,382,426,45
Kah_1,Segmento_phi,motif,190,210,21
Kah_1,Segmento_S,motif,61,75,15
Kah_5,Bdhn4_E1,exon,1,76,76
Kah_5,Bdhn4_E2,exon,187,435,249
Kah_5,Segmento_K1,motif,214,258,45
Kah_5,Segmento_K2,motif,382,426,45
Kah_5,Segmento_phi,motif,190,210,21
Kah_5,Segmento_S,motif,61,75,15
Koz_1,Bdhn4_E1,exon,1,76,76
Koz_1,Bdhn4_E2,exon,187,435,249
Koz_1,Segmento_K1,motif,214,258,45
Koz_1,Segmento_K2,motif,382,426,45
Koz_1,Segmento_phi,motif,190,210,21
Koz_1,Segmento_S,motif,61,75,15
Luc1,Bdhn4_E1,exon,1,76,76
Luc1,Bdhn4_E2,exon,190,432,243
Luc1,Segmento_K1,motif,217,261,45
Luc1,Segmento_K2,motif,379,423,45
Luc1,Segmento_phi,motif,193,213,21
Luc1,Segmento_S,motif,61,75,15
Mig3,Bdhn4_E1,exon,1,76,76
Mig3,Bdhn4_E2,exon,187,435,249
Mig3,Segmento_K1,motif,214,258,45
Mig3,Segmento_K2,motif,382,426,45
Mig3,Segmento_phi,motif,190,210,21
Mig3,Segmento_S,motif,61,75,15
Mur1,Bdhn4_E1,exon,1,76,76
Mur1,Bdhn4_E2,exon,187,435,249
Mur1,Segmento_K1,motif,214,258,45
Mur1,Segmento_K2,motif,382,426,45
Mur1,Segmento_phi,motif,190,210,21
Mur1,Segmento_S,motif,61,75,15
Per1,Bdhn4_E1,exon,1,76,76
Per1,Bdhn5_E2,exon,190,432,243
Per1,Segmento_K1,motif,217,261,45
Per1,Segmento_K2,motif,379,423,45
Per1,Segmento_phi,motif,193,213,21
Per1,Segmento_S,motif,61,75,15
RON2,Bdhn4_E1,exon,1,76,76
RON2,Bdhn4_E2,exon,187,435,249
RON2,Segmento_K1,motif,214,258,45
RON2,Segmento_K2,motif,382,426,45
RON2,Segmento_phi,motif,190,210,21
RON2,Segmento_S,motif,61,75,15
S8iiC,Bdhn4_E1,exon,1,76,76
S8iiC,Bdhn4_E2,exon,187,435,249
S8iiC,Segmento_K1,motif,214,258,45
S8iiC,Segmento_K2,motif,382,426,45
S8iiC,Segmento_phi,motif,190,210,21
S8iiC,Segmento_S,motif,61,75,15
Sig2,Bdhn4_E1,exon,1,76,76
Sig2,Bdhn4_E2,exon,187,435,249
Sig2,Segmento_K1,motif,214,258,45
Sig2,Segmento_K2,motif,382,426,45
Sig2,Segmento_phi,motif,190,210,21
Sig2,Segmento_S,motif,61,75,15
Sig2 2,Bdhn4_E1,exon,1,76,76
Sig2 2,Bdhn4_E2,exon,187,435,249
Sig2 2,Segmento_K1,motif,214,258,45
Sig2 2,Segmento_K2,motif,382,426,45
Sig2 2,Segmento_phi,motif,190,210,21
Sig2 2,Segmento_S,motif,61,75,15
Tek_2,Bdhn4_E1,exon,1,76,76
Tek_2,Bdhn5_E2,exon,190,432,243
Tek_2,Segmento_K1,motif,217,261,45
Tek_2,Segmento_K2,motif,379,423,45
Tek_2,Segmento_phi,motif,193,213,21
Tek_2,Segmento_S,motif,61,75,15
Uni2,Bdhn4_E1,exon,1,76,76
Uni2,Bdhn4_E2,exon,187,435,249
Uni2,Segmento_K1,motif,214,258,45
Uni2,Segmento_K2,motif,382,426,45
Uni2,Segmento_phi,motif,190,210,21
Uni2,Segmento_S,motif,61,75,15
