Sequence Name,Name,Type,Minimum,Maximum,Length
BdhnBsta6,Segmento_K2,motif,820,864,45
BdhnBsta6,Segmento_K2,motif,1033,1077,45
BdhnBsta6,Segmento_K1,motif,670,711,42
BdhnBsta6,Segmento_Y,motif,43,66,24
BdhnBsta6,Segmento_Y,motif,154,177,24
BdhnBsta6,Segmento_phi,motif,643,666,24
BdhnBsta6,Segmento_S,motif,616,633,18
BdTR1i,Bdhn6_E1,exon,1,774,774
BdTR1i,Bdhn6_E2,exon,889,1302,414
BdTR1i,Segmento_K2,motif,1063,1107,45
BdTR1i,Segmento_K2,motif,1246,1290,45
BdTR1i,Segmento_K1,motif,922,963,42
BdTR1i,Segmento_Y2,motif,157,180,24
BdTR1i,Segmento_phi,motif,895,918,24
BdTR1i,Segmento_Y1,motif,49,69,21
BdTR1i,Segmento_S,motif,757,774,18
BdTR2B,Bdhn6_E1,exon,1,774,774
BdTR2B,Bdhn6_E2,exon,889,1302,414
BdTR2B,Segmento_K2,motif,1063,1107,45
BdTR2B,Segmento_K2,motif,1246,1290,45
BdTR2B,Segmento_K1,motif,922,963,42
BdTR2B,Segmento_Y2,motif,157,180,24
BdTR2B,Segmento_phi,motif,895,918,24
BdTR2B,Segmento_Y1,motif,49,69,21
BdTR2B,Segmento_S,motif,757,774,18
BdTR2G,Bdhn6_E1,exon,1,774,774
BdTR2G,Bdhn6_E2,exon,889,1302,414
BdTR2G,Segmento_K2,motif,1063,1107,45
BdTR2G,Segmento_K2,motif,1246,1290,45
BdTR2G,Segmento_K1,motif,922,963,42
BdTR2G,Segmento_phi,motif,895,918,24
BdTR2G,Segmento_Y2,motif,157,180,24
BdTR2G,Segmento_Y1,motif,49,69,21
BdTR2G,Segmento_S,motif,757,774,18
BdTR3C,Bdhn6_E1,exon,1,774,774
BdTR3C,Bdhn6_E2,exon,889,1302,414
BdTR3C,Segmento_K2,motif,1063,1107,45
BdTR3C,Segmento_K2,motif,1246,1290,45
BdTR3C,Segmento_K1,motif,922,963,42
BdTR3C,Segmento_Y2,motif,157,180,24
BdTR3C,Segmento_phi,motif,895,918,24
BdTR3C,Segmento_Y1,motif,49,69,21
BdTR3C,Segmento_S,motif,757,774,18
BdTR5I,Bdhn6_E1,exon,1,774,774
BdTR5I,Bdhn6_E2,exon,889,1302,414
BdTR5I,Segmento_K2,motif,1063,1107,45
BdTR5I,Segmento_K2,motif,1246,1290,45
BdTR5I,Segmento_K1,motif,922,963,42
BdTR5I,Segmento_Y2,motif,157,180,24
BdTR5I,Segmento_phi,motif,895,918,24
BdTR5I,Segmento_Y1,motif,49,69,21
BdTR5I,Segmento_S,motif,757,774,18
BdTR7a,Bdhn6_E1,exon,1,780,780
BdTR7a,Bdhn6_E2,exon,895,1308,414
BdTR7a,Segmento_K2,motif,1069,1113,45
BdTR7a,Segmento_K2,motif,1252,1296,45
BdTR7a,Segmento_K1,motif,928,969,42
BdTR7a,Segmento_Y2,motif,157,180,24
BdTR7a,Segmento_phi,motif,901,924,24
BdTR7a,Segmento_Y1,motif,49,69,21
BdTR7a,Segmento_S,motif,763,780,18
BdTR8i,Bdhn6_E1,exon,1,780,780
BdTR8i,Bdhn6_E2,exon,895,1308,414
BdTR8i,Segmento_K2,motif,1069,1113,45
BdTR8i,Segmento_K2,motif,1252,1296,45
BdTR8i,Segmento_K1,motif,928,969,42
BdTR8i,Segmento_Y2,motif,157,180,24
BdTR8i,Segmento_phi,motif,901,924,24
BdTR8i,Segmento_Y1,motif,49,69,21
BdTR8i,Segmento_S,motif,763,780,18
BdTR9K,Bdhn6_E1,exon,1,774,774
BdTR9K,Bdhn6_E2,exon,889,1302,414
BdTR9K,Segmento_K2,motif,1063,1107,45
BdTR9K,Segmento_K2,motif,1246,1290,45
BdTR9K,Segmento_K1,motif,922,963,42
BdTR9K,Segmento_Y2,motif,157,180,24
BdTR9K,Segmento_phi,motif,895,918,24
BdTR9K,Segmento_Y1,motif,49,69,21
BdTR9K,Segmento_S,motif,757,774,18
BdTR10C,Bdhn6_E1,exon,1,774,774
BdTR10C,Bdhn6_E2,exon,889,1302,414
BdTR10C,Segmento_K2,motif,1063,1107,45
BdTR10C,Segmento_K2,motif,1246,1290,45
BdTR10C,Segmento_K1,motif,922,963,42
BdTR10C,Segmento_phi,motif,895,918,24
BdTR10C,Segmento_Y2,motif,157,180,24
BdTR10C,Segmento_Y1,motif,49,69,21
BdTR10C,Segmento_S,motif,757,774,18
BdTR11A,Bdhn6_E1,exon,1,774,774
BdTR11A,Bdhn6_E2,exon,889,1302,414
BdTR11A,Segmento_K2,motif,1063,1107,45
BdTR11A,Segmento_K2,motif,1246,1290,45
BdTR11A,Segmento_K1,motif,922,963,42
BdTR11A,Segmento_Y2,motif,157,180,24
BdTR11A,Segmento_phi,motif,895,918,24
BdTR11A,Segmento_Y1,motif,49,69,21
BdTR11A,Segmento_S,motif,757,774,18
BdTR11G,Bdhn6_E1,exon,1,774,774
BdTR11G,Bdhn6_E2,exon,889,1302,414
BdTR11G,Segmento_K2,motif,1063,1107,45
BdTR11G,Segmento_K2,motif,1246,1290,45
BdTR11G,Segmento_K1,motif,922,963,42
BdTR11G,Segmento_Y2,motif,157,180,24
BdTR11G,Segmento_phi,motif,895,918,24
BdTR11G,Segmento_Y1,motif,49,69,21
BdTR11G,Segmento_S,motif,757,774,18
BdTR11I,Bdhn6_E1,exon,1,774,774
BdTR11I,Bdhn6_E2,exon,889,1302,414
BdTR11I,Segmento_K2,motif,1063,1107,45
BdTR11I,Segmento_K2,motif,1246,1290,45
BdTR11I,Segmento_K1,motif,922,963,42
BdTR11I,Segmento_Y2,motif,157,180,24
BdTR11I,Segmento_phi,motif,895,918,24
BdTR11I,Segmento_Y1,motif,49,69,21
BdTR11I,Segmento_S,motif,757,774,18
BdTR12c,Bdhn6_E1,exon,1,774,774
BdTR12c,Bdhn6_E2,exon,889,1302,414
BdTR12c,Segmento_K2,motif,1063,1107,45
BdTR12c,Segmento_K2,motif,1246,1290,45
BdTR12c,Segmento_K1,motif,922,963,42
BdTR12c,Segmento_Y2,motif,157,180,24
BdTR12c,Segmento_phi,motif,895,918,24
BdTR12c,Segmento_Y1,motif,49,69,21
BdTR12c,Segmento_S,motif,757,774,18
BdTR13a,Bdhn6_E1,exon,1,774,774
BdTR13a,Bdhn6_E2,exon,889,1302,414
BdTR13a,Segmento_K2,motif,1063,1107,45
BdTR13a,Segmento_K2,motif,1246,1290,45
BdTR13a,Segmento_K1,motif,922,963,42
BdTR13a,Segmento_Y2,motif,157,180,24
BdTR13a,Segmento_phi,motif,895,918,24
BdTR13a,Segmento_Y1,motif,49,69,21
BdTR13a,Segmento_S,motif,757,774,18
BdTR13C,Bdhn6_E1,exon,1,774,774
BdTR13C,Bdhn6_E2,exon,889,1302,414
BdTR13C,Segmento_K2,motif,1063,1107,45
BdTR13C,Segmento_K2,motif,1246,1290,45
BdTR13C,Segmento_K1,motif,922,963,42
BdTR13C,Segmento_Y2,motif,157,180,24
BdTR13C,Segmento_phi,motif,895,918,24
BdTR13C,Segmento_Y1,motif,49,69,21
BdTR13C,Segmento_S,motif,757,774,18
Bis1,Bdhn6_E1,exon,1,774,774
Bis1,Bdhn6_E2,exon,889,1302,414
Bis1,Segmento_K2,motif,1063,1107,45
Bis1,Segmento_K2,motif,1246,1290,45
Bis1,Segmento_K1,motif,922,963,42
Bis1,Segmento_Y2,motif,157,180,24
Bis1,Segmento_phi,motif,895,918,24
Bis1,Segmento_Y1,motif,49,69,21
Bis1,Segmento_S,motif,757,774,18
Foz1,Bdhn6_E1,exon,1,774,774
Foz1,Bdhn6_E2,exon,889,1302,414
Foz1,Segmento_K2,motif,1063,1107,45
Foz1,Segmento_K2,motif,1246,1290,45
Foz1,Segmento_K1,motif,922,963,42
Foz1,Segmento_Y2,motif,157,180,24
Foz1,Segmento_phi,motif,895,918,24
Foz1,Segmento_Y1,motif,49,69,21
Foz1,Segmento_S,motif,757,774,18
Jer1,Bdhn6_E1,exon,1,774,774
Jer1,Bdhn6_E2,exon,889,1302,414
Jer1,Segmento_K2,motif,1063,1107,45
Jer1,Segmento_K2,motif,1246,1290,45
Jer1,Segmento_K1,motif,922,963,42
Jer1,Segmento_Y2,motif,157,180,24
Jer1,Segmento_phi,motif,895,918,24
Jer1,Segmento_Y1,motif,49,69,21
Jer1,Segmento_S,motif,757,774,18
Kah_1,Bdhn6_E1,exon,1,774,774
Kah_1,Bdhn6_E2,exon,889,1302,414
Kah_1,Segmento_K2,motif,1063,1107,45
Kah_1,Segmento_K2,motif,1246,1290,45
Kah_1,Segmento_K1,motif,922,963,42
Kah_1,Segmento_Y2,motif,157,180,24
Kah_1,Segmento_phi,motif,895,918,24
Kah_1,Segmento_Y1,motif,49,69,21
Kah_1,Segmento_S,motif,757,774,18
Kah_5,Bdhn6_E1,exon,1,774,774
Kah_5,Bdhn6_E2,exon,889,1302,414
Kah_5,Segmento_K2,motif,1063,1107,45
Kah_5,Segmento_K2,motif,1246,1290,45
Kah_5,Segmento_K1,motif,922,963,42
Kah_5,Segmento_Y2,motif,157,180,24
Kah_5,Segmento_phi,motif,895,918,24
Kah_5,Segmento_Y1,motif,49,69,21
Kah_5,Segmento_S,motif,757,774,18
Koz_1,Bdhn6_E1,exon,1,774,774
Koz_1,Bdhn6_E2,exon,889,1302,414
Koz_1,Segmento_K2,motif,1063,1107,45
Koz_1,Segmento_K2,motif,1246,1290,45
Koz_1,Segmento_K1,motif,922,963,42
Koz_1,Segmento_Y2,motif,157,180,24
Koz_1,Segmento_phi,motif,895,918,24
Koz_1,Segmento_Y1,motif,49,69,21
Koz_1,Segmento_S,motif,757,774,18
Koz_3,Bdhn6_E2,exon,826,1239,414
Koz_3,Segmento_K2,motif,1000,1044,45
Koz_3,Segmento_K2,motif,1183,1227,45
Koz_3,Segmento_K1,motif,859,900,42
Koz_3,Segmento_Y2,motif,157,180,24
Koz_3,Segmento_phi,motif,832,855,24
Koz_3,Segmento_Y1,motif,49,69,21
Koz_3,Segmento_S,motif,694,711,18
Luc1,Bdhn6_E1,exon,1,774,774
Luc1,Bdhn6_E2,exon,889,1302,414
Luc1,Segmento_K2,motif,1063,1107,45
Luc1,Segmento_K2,motif,1246,1290,45
Luc1,Segmento_K1,motif,922,963,42
Luc1,Segmento_Y2,motif,157,180,24
Luc1,Segmento_phi,motif,895,918,24
Luc1,Segmento_Y1,motif,49,69,21
Luc1,Segmento_S,motif,757,774,18
Mig3,Bdhn6_E1,exon,1,774,774
Mig3,Bdhn6_E2,exon,889,1302,414
Mig3,Segmento_K2,motif,1063,1107,45
Mig3,Segmento_K2,motif,1246,1290,45
Mig3,Segmento_K1,motif,922,963,42
Mig3,Segmento_Y2,motif,157,180,24
Mig3,Segmento_phi,motif,895,918,24
Mig3,Segmento_Y1,motif,49,69,21
Mig3,Segmento_S,motif,757,774,18
Mon3,Bdhn6_E1,exon,1,780,780
Mon3,Bdhn6_E2,exon,895,1308,414
Mon3,Segmento_K2,motif,1069,1113,45
Mon3,Segmento_K2,motif,1252,1296,45
Mon3,Segmento_K1,motif,928,969,42
Mon3,Segmento_Y2,motif,157,180,24
Mon3,Segmento_phi,motif,901,924,24
Mon3,Segmento_Y1,motif,49,69,21
Mon3,Segmento_S,motif,763,780,18
Mur1,Bdhn6_E1,exon,1,774,774
Mur1,Bdhn6_E2,exon,889,1302,414
Mur1,Segmento_K2,motif,1063,1107,45
Mur1,Segmento_K2,motif,1246,1290,45
Mur1,Segmento_K1,motif,922,963,42
Mur1,Segmento_Y2,motif,157,180,24
Mur1,Segmento_phi,motif,895,918,24
Mur1,Segmento_Y1,motif,49,69,21
Mur1,Segmento_S,motif,757,774,18
Per1,Bdhn6_E1,exon,1,774,774
Per1,Bdhn6_E2,exon,889,1302,414
Per1,Segmento_K2,motif,1063,1107,45
Per1,Segmento_K2,motif,1246,1290,45
Per1,Segmento_K1,motif,922,963,42
Per1,Segmento_Y2,motif,157,180,24
Per1,Segmento_phi,motif,895,918,24
Per1,Segmento_Y1,motif,49,69,21
Per1,Segmento_S,motif,757,774,18
RON2,Bdhn6_E1,exon,1,774,774
RON2,Bdhn6_E2,exon,889,1302,414
RON2,Segmento_K2,motif,1063,1107,45
RON2,Segmento_K2,motif,1246,1290,45
RON2,Segmento_K1,motif,922,963,42
RON2,Segmento_Y2,motif,157,180,24
RON2,Segmento_phi,motif,895,918,24
RON2,Segmento_Y1,motif,49,69,21
RON2,Segmento_S,motif,757,774,18
S8iiC,Bdhn6_E1,exon,1,774,774
S8iiC,Bdhn6_E2,exon,889,1302,414
S8iiC,Segmento_K2,motif,1063,1107,45
S8iiC,Segmento_K2,motif,1246,1290,45
S8iiC,Segmento_K1,motif,922,963,42
S8iiC,Segmento_Y2,motif,157,180,24
S8iiC,Segmento_phi,motif,895,918,24
S8iiC,Segmento_Y1,motif,49,69,21
S8iiC,Segmento_S,motif,757,774,18
Sig2,Bdhn6_E1,exon,1,774,774
Sig2,Bdhn6_E2,exon,889,1302,414
Sig2,Segmento_K2,motif,1063,1107,45
Sig2,Segmento_K2,motif,1246,1290,45
Sig2,Segmento_K1,motif,922,963,42
Sig2,Segmento_Y2,motif,157,180,24
Sig2,Segmento_phi,motif,895,918,24
Sig2,Segmento_Y1,motif,49,69,21
Sig2,Segmento_S,motif,757,774,18
Tek_2,Bdhn6_E1,exon,1,780,780
Tek_2,Bdhn6_E2,exon,895,1308,414
Tek_2,Segmento_K2,motif,1069,1113,45
Tek_2,Segmento_K2,motif,1252,1296,45
Tek_2,Segmento_K1,motif,928,969,42
Tek_2,Segmento_Y2,motif,157,180,24
Tek_2,Segmento_phi,motif,901,924,24
Tek_2,Segmento_Y1,motif,49,69,21
Tek_2,Segmento_S,motif,763,780,18
Tek_4,Bdhn6_E1,exon,1,780,780
Tek_4,Bdhn6_E2,exon,895,1308,414
Tek_4,Segmento_K2,motif,1069,1113,45
Tek_4,Segmento_K2,motif,1252,1296,45
Tek_4,Segmento_K1,motif,928,969,42
Tek_4,Segmento_Y2,motif,157,180,24
Tek_4,Segmento_phi,motif,901,924,24
Tek_4,Segmento_Y1,motif,49,69,21
Tek_4,Segmento_S,motif,763,780,18
Uni2,Bdhn6_E1,exon,1,774,774
Uni2,Bdhn6_E2,exon,889,1302,414
Uni2,Segmento_K2,motif,1063,1107,45
Uni2,Segmento_K2,motif,1246,1290,45
Uni2,Segmento_K1,motif,922,963,42
Uni2,Segmento_Y2,motif,157,180,24
Uni2,Segmento_phi,motif,895,918,24
Uni2,Segmento_Y1,motif,49,69,21
Uni2,Segmento_S,motif,757,774,18
