ecotype,numcode,replicate,treatment,climate,Bdhn1a,Bdhn2,Bdhn3,Bdhn7,treatment,leafrwc,leafwc,lma,pro,abvrgd,blwgrd,ttlmass,rmr,delta13c,leafc,leafn,cn
ABR5,13,3,Watered,Cold,254.8,23.3,9.4,6.1,Watered,100.04,369.42,22.095,8.7886,74.425,26.425,100.85,26.1643,-32.0318,390.46,44.5742,8.8093
ABR5,13,3,Drought,Cold,188.7,55.4,140.2,45,Drought,97.8872,326.65,25.3111,7.2641,72.297,46.4,118.49,39.1138,-31.0825,386.6,35.9327,10.7333
ABR6,14,1,Watered,Cold,357.3,39.7,3.6,10.8,Watered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABR6,14,1,Drought,Cold,333.5,130.4,147.8,13.5,Drought,94.3688,291.38,28.1391,31.3657,81.25,41.45,122.7,33.747,-31.3617,401.51,35.7275,11.2734
ABR6,14,2,Watered,Cold,340.4,26.1,3.9,3.9,Watered,99.7671,341.87,25.7345,12.5268,84.875,34.05,118.93,28.3888,-31.6356,394.87,41.1856,9.6499
ABR6,14,2,Drought,Cold,281.5,397.3,2175.5,102.5,Drought,94.3688,291.38,28.1391,31.3657,81.25,41.45,122.7,33.747,-31.3617,401.51,35.7275,11.2734
ABR6,14,3,Watered,Cold,258.1,26.1,4.4,2.5,Watered,99.7067,330.68,25.8882,8.9714,77.6,29.4,107,26.7787,-32.0715,386.89,42.6801,9.0705
ABR6,14,3,Drought,Cold,289,199.9,778.6,33.6,Drought,95.7619,309.23,27.7202,17.3763,64.675,39.5,104.18,37.3018,-31.2286,407.43,33.2924,12.275
ABR6,14,4,Watered,Cold,308.2,18.1,3.1,2.6,Watered,99.7067,330.68,25.8882,8.9714,77.6,29.4,107,26.7787,-32.0715,386.89,42.6801,9.0705
ABR6,14,4,Drought,Cold,256.7,90.5,300.3,16.6,Drought,95.7619,309.23,27.7202,17.3763,64.675,39.5,104.18,37.3018,-31.2286,407.43,33.2924,12.275
ABR8,15,1,Watered,Mesic,224.6,36.4,4.2,0,Watered,98.3205,348.4,27.9114,8.9252,201.2,46.475,247.68,19.0137,-31.1487,384.03,30.6539,12.5536
ABR8,15,1,Drought,Mesic,298.2,144.7,199.2,63.3,Drought,92.1823,307.46,32.7175,37.0386,129.1,33.25,162.35,20.5232,-31.3316,392.46,32.4176,12.2406
ABR8,15,2,Watered,Mesic,128.8,21.1,3.5,0,Watered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ABR8,15,2,Drought,Mesic,379.6,336.2,262.1,112,Drought,92.1823,307.46,32.7175,37.0386,129.1,33.25,162.35,20.5232,-31.3316,392.46,32.4176,12.2406
ABR8,15,3,Watered,Mesic,249,35.8,5.6,1.7,Watered,99.4822,365.28,27.9182,7.53,158.13,38.15,196.27,19.5398,-31.7883,382.51,35.7896,10.8115
ABR8,15,3,Drought,Mesic,502.2,312.7,177.6,84.1,Drought,95.8411,348.43,29.1515,13.8568,95.75,33.2,128.95,26.3473,-31.325,393.59,31.1215,12.7443
ABR8,15,4,Watered,Mesic,292.4,23.1,3.3,2.3,Watered,99.4822,365.28,27.9182,7.53,158.13,38.15,196.27,19.5398,-31.7883,382.51,35.7896,10.8115
ABR8,15,4,Drought,Mesic,940.2,644.1,285.3,251.7,Drought,95.8411,348.43,29.1515,13.8568,95.75,33.2,128.95,26.3473,-31.325,393.59,31.1215,12.7443
Adi10,16,1,Watered,Mesic,632.4,37.3,1.7,0.4,Watered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adi10,16,1,Drought,Mesic,440,197.7,215.9,112.4,Drought,91.5314,335.69,28.3401,83.7468,138.23,60.8,199.02,30.4882,-30.8597,396.7,31.5821,12.5705
Adi10,16,2,Watered,Mesic,415.9,49.3,8.4,3.1,Watered,99.5952,368.16,24.5397,11.9688,222.53,73.6296,294.77,24.8531,-31.5077,389.82,31.0325,12.6508
Adi10,16,2,Drought,Mesic,357.1,249.5,258.2,64.7,Drought,91.5314,335.69,28.3401,83.7468,138.23,60.8,199.02,30.4882,-30.8597,396.7,31.5821,12.5705
Adi10,16,3,Watered,Mesic,841.2,51,8.7,6.5,Watered,99.4321,375.27,24.2527,10.4201,227.2,84.275,311.48,27.1766,-31.6098,387.13,33.1554,11.9649
Adi10,16,3,Drought,Mesic,820.4,1251.9,1961.7,462,Drought,93.4741,330.73,29.3769,25.8306,129.5,74.5,204,36.3975,-30.8103,398.07,31.8895,12.499
Adi10,16,4,Watered,Mesic,341.2,20.1,8.1,2.9,Watered,99.4321,375.27,24.2527,10.4201,227.2,84.275,311.48,27.1766,-31.6098,387.13,33.1554,11.9649
Adi10,16,4,Drought,Mesic,1020.1,2043.2,2431.9,692.5,Drought,93.4741,330.73,29.3769,25.8306,129.5,74.5,204,36.3975,-30.8103,398.07,31.8895,12.499
Adi12,17,1,Watered,Mesic,339,81.9,4.9,2.4,Watered,99.6679,309.95,27.7541,11.0422,176.3,59.45,235.75,24.9133,-31.0063,390.76,36.9663,10.6362
Adi12,17,1,Drought,Mesic,558,751.2,290.8,59.5,Drought,92.6729,290.48,29.3319,37.4857,158.68,75.7,234.37,32.3829,-30.3287,399.63,32.1182,12.5141
Adi12,17,2,Watered,Mesic,396.1,43.2,0,0,Watered,99.6679,309.95,27.7541,11.0422,176.3,59.45,235.75,24.9133,-31.0063,390.76,36.9663,10.6362
Adi12,17,2,Drought,Mesic,377.1,260.2,133,56.5,Drought,92.6729,290.48,29.3319,37.4857,158.68,75.7,234.37,32.3829,-30.3287,399.63,32.1182,12.5141
Adi12,17,3,Watered,Mesic,193.2,96,30.9,13.7,Watered,99.1611,335.81,25.6211,9.891,161.4,56.125,217.52,24.964,-31.5626,391.09,40.6269,9.6303
Adi12,17,3,Drought,Mesic,778.7,840,1104.1,330,Drought,91.5266,291.54,29.3439,22.6328,124.07,65.375,189.45,34.5262,-30.3494,401.56,32.3216,12.4274
Adi12,17,4,Watered,Mesic,746.4,53.9,11.2,1.7,Watered,99.1611,335.81,25.6211,9.891,161.4,56.125,217.52,24.964,-31.5626,391.09,40.6269,9.6303
Adi12,17,4,Drought,Mesic,240.8,515.5,466.2,113.3,Drought,91.5266,291.54,29.3439,22.6328,124.07,65.375,189.45,34.5262,-30.3494,401.56,32.3216,12.4274
Adi2,18,1,Watered,Mesic,402.2,68,5,3.8,Watered,98.717,301.12,26.5199,7.0812,157.53,52.625,210.15,24.545,-31.4804,390.68,33.8382,11.6383
Adi2,18,1,Drought,Mesic,458.9,161.7,37.1,11,Drought,94.7074,280.35,29.122,44.1721,106.6,50.6,157.2,32.0808,-30.4593,397.18,30.3205,13.1419
Adi2,18,2,Watered,Mesic,489.2,36.5,1.1,3.2,Watered,97.504,310.82,25.2906,9.3671,163.35,48.675,212.02,23.2089,-31.165,388.99,35.112,11.2449
Adi2,18,2,Drought,Mesic,396.1,457.9,318.7,55.9,Drought,94.7074,280.35,29.122,44.1721,106.6,50.6,157.2,32.0808,-30.4593,397.18,30.3205,13.1419
Adi2,18,3,Watered,Mesic,398.6,65.7,4,2,Watered,97.504,310.82,25.2906,9.3671,163.35,48.675,212.02,23.2089,-31.165,388.99,35.112,11.2449
Adi2,18,3,Drought,Mesic,528.3,913.4,957,123.8,Drought,95.5478,286.92,28.7405,33.3583,95.05,64.975,160.03,40.5204,-30.9863,394.32,32.8584,12.1132
Bd1-1,19,1,Watered,Mesic,390.9,46.9,8.1,1.5,Watered,99.4871,340.96,26.0514,8.6774,70.85,28.025,98.875,28.2736,-31.6875,386.51,43.3848,8.9165
Bd1-1,19,1,Drought,Mesic,475.8,282.7,88.6,27.7,Drought,96.6513,318.06,27.8895,22.4793,69.95,32.675,102.62,32.6184,-30.7095,396.41,32.6329,12.2739
Bd1-1,19,2,Watered,Mesic,320,17.6,14.4,4,Watered,99.4871,340.96,26.0514,8.6774,70.85,28.025,98.875,28.2736,-31.6875,386.51,43.3848,8.9165
Bd1-1,19,2,Drought,Mesic,352.8,22,3.3,2.2,Drought,96.6513,318.06,27.8895,22.4793,69.95,32.675,102.62,32.6184,-30.7095,396.41,32.6329,12.2739
Bd18-1,20,1,Watered,Mesic,239.9,21.8,5,0,Watered,98.0056,330.2,26.3515,9.0038,166.53,52.55,219.08,23.6441,-31.8404,397.53,36.541,11.1618
Bd18-1,20,1,Drought,Mesic,464.3,392,257.2,138.3,Drought,89.0917,287.91,32.5382,40.6435,132.28,54.4,186.67,29.1314,-30.5819,405.25,33.6488,12.0622
Bd18-1,20,2,Watered,Mesic,278.7,16.2,2.8,0.9,Watered,98.0056,330.2,26.3515,9.0038,166.53,52.55,219.08,23.6441,-31.8404,397.53,36.541,11.1618
Bd18-1,20,2,Drought,Mesic,1009.6,704.2,564,207.5,Drought,95.8214,323.02,25.8254,12.4704,122.7,66.6,189.51,34.814,-30.5654,410.32,32.0128,12.8275
Bd21control,21,1,Watered,Warm,324.2,24.3,1.3,0.7,Watered,98.5239,362.35,30.453,7.6058,111.7,36.875,148.58,24.381,-31.4144,395.78,39.9974,9.8958
Bd21control,21,1,Drought,Warm,292.8,125,23.5,12.3,Drought,92.1978,329.74,31.3491,19.6817,112.55,45.45,158,28.7482,-30.0903,404.42,32.2814,12.6108
Bd21control,21,2,Watered,Warm,363.1,70,24,5.7,Watered,98.5239,362.35,30.453,7.6058,111.7,36.875,148.58,24.381,-31.4144,395.78,39.9974,9.8958
Bd21control,21,2,Drought,Warm,249.1,129.2,28.3,45.6,Drought,92.1978,329.74,31.3491,19.6817,112.55,45.45,158,28.7482,-30.0903,404.42,32.2814,12.6108
Bd21control,21,3,Watered,Warm,183.1,24.9,2.4,1,Watered,98.5417,379.23,25.9302,7.9891,98.175,32.925,131.1,27.3518,-31.4395,381.6,39.2661,9.7509
Bd21control,21,3,Drought,Warm,440.2,148.4,65.8,36.5,Drought,97.234,367.57,28.5431,14.0697,96.7,52.45,149.15,35.0758,-30.3526,403.03,32.3337,12.5448
Bd21control,21,4,Watered,Warm,330,59.6,37.8,6,Watered,98.5417,379.23,25.9302,7.9891,98.175,32.925,131.1,27.3518,-31.4395,381.6,39.2661,9.7509
Bd21control,21,4,Drought,Warm,325.3,52.3,4.7,2.9,Drought,97.234,367.57,28.5431,14.0697,96.7,52.45,149.15,35.0758,-30.3526,403.03,32.3337,12.5448
Bd21-3,22,1,Watered,Warm,307.6,25.8,9.4,1.8,Watered,100.05,332.87,29.2984,7.2565,163.6,60.5,224.1,26.8571,-32.0124,391.3,35.0021,11.1932
Bd21-3,22,1,Drought,Warm,478.7,621.3,567,243.4,Drought,86.9049,295.54,35.8918,58.7702,131.23,79.325,210.55,35.7497,-31.192,394.95,34.5557,11.4413
Bd21-3,22,2,Watered,Warm,276.1,26.2,18.8,0.7,Watered,100.05,332.87,29.2984,7.2565,163.6,60.5,224.1,26.8571,-32.0124,391.3,35.0021,11.1932
Bd21-3,22,2,Drought,Warm,452.8,647,487.3,145.7,Drought,86.9049,295.54,35.8918,58.7702,131.23,79.325,210.55,35.7497,-31.192,394.95,34.5557,11.4413
Bd21-3,22,3,Watered,Warm,288.6,25.4,14.7,2,Watered,99.7714,333.71,30.3696,9.4632,172.53,51.775,224.3,21.8706,-31.7525,386.84,35.5076,10.928
Bd21-3,22,3,Drought,Warm,966.8,1402,1464.4,692.9,Drought,90.9053,311.26,31.4101,20.4713,136.3,69.35,205.65,33.7667,-30.7154,398.97,33.7282,11.8389
Bd2-3,23,1,Watered,Warm,181.2,37.4,5,2.1,Watered,98.93,312.26,27.7804,4.9665,150.93,57.825,208.75,27.4164,-30.7961,384.77,34.4474,11.3351
Bd2-3,23,1,Drought,Warm,531.4,253,121.1,16.7,Drought,92.9477,290.3,30.6912,32.8335,115.75,55.225,170.97,32.1404,-30.4738,397,29.9625,13.2597
Bd2-3,23,2,Watered,Warm,422.7,54.3,0,0,Watered,98.93,312.26,27.7804,4.9665,150.93,57.825,208.75,27.4164,-30.7961,384.77,34.4474,11.3351
Bd2-3,23,2,Drought,Warm,635.6,173.8,50.8,38.3,Drought,92.9477,290.3,30.6912,32.8335,115.75,55.225,170.97,32.1404,-30.4738,397,29.9625,13.2597
Bd2-3,23,3,Watered,Warm,327,82.5,6.9,3,Watered,100.14,334.18,27.1921,9.3872,134.68,39.55,174.23,23.4222,-31.737,379,38.5101,9.953
Bd2-3,23,3,Drought,Warm,291.6,40.1,6.9,1.9,Drought,96.4096,313.1,27.9172,16.2772,103.6,49.8667,153.26,32.3381,-30.9876,391.61,32.8971,11.9916
Bd2-3,23,4,Watered,Warm,542.5,48.5,3.8,4.9,Watered,100.14,334.18,27.1921,9.3872,134.68,39.55,174.23,23.4222,-31.737,379,38.5101,9.953
Bd2-3,23,4,Drought,Warm,550.1,341.3,200.5,60.2,Drought,96.4096,313.1,27.9172,16.2772,103.6,49.8667,153.26,32.3381,-30.9876,391.61,32.8971,11.9916
Bd30-1,24,1,Watered,Mesic,266.2,37.1,5,3,Watered,98.4703,359.5,23.884,8.8716,153.97,68.45,222.43,31.0447,-31.6055,375.12,36.2257,10.3997
Bd30-1,24,1,Drought,Mesic,353.5,492.1,287,76.5,Drought,90.7217,272.28,32.0642,49.0163,128.28,60.325,188.6,32.1573,-31.1346,387.86,34.6917,11.3551
Bd30-1,24,2,Watered,Mesic,244.7,20.3,2.5,0.4,Watered,98.4703,359.5,23.884,8.8716,153.97,68.45,222.43,31.0447,-31.6055,375.12,36.2257,10.3997
Bd30-1,24,2,Drought,Mesic,198.6,406.5,439.7,73.3,Drought,90.7217,272.28,32.0642,49.0163,128.28,60.325,188.6,32.1573,-31.1346,387.86,34.6917,11.3551
Bd30-1,24,3,Watered,Mesic,504.7,32.9,8.1,2.9,Watered,99.0166,362.25,24.4767,7.6702,146.13,72.575,218.7,33.5068,-32.6119,377.51,38.9337,9.7014
Bd30-1,24,3,Drought,Mesic,1005.9,1632.6,2616.2,685.5,Drought,93.1622,309.6,27.8919,30.0273,88.65,51.325,139.98,36.8631,-31.1783,385.03,35.2732,10.9211
Bd30-1,24,4,Watered,Mesic,444.6,44,7.3,2.9,Watered,99.0166,362.25,24.4767,7.6702,146.13,72.575,218.7,33.5068,-32.6119,377.51,38.9337,9.7014
Bd30-1,24,4,Drought,Mesic,396.7,515.6,283.3,55.5,Drought,93.1622,309.6,27.8919,30.0273,88.65,51.325,139.98,36.8631,-31.1783,385.03,35.2732,10.9211
Bd3-1,25,1,Watered,Warm,321.4,34.7,4.6,1.5,Watered,98.874,332.27,27.1868,13.1448,212.03,75.775,287.8,26.7347,-31.8078,389.5,36.0408,10.8927
Bd3-1,25,1,Drought,Warm,316.4,405.3,1017.8,55.9,Drought,90.2132,299.88,29.9041,29.8525,124.08,60.5,184.57,33.1324,-30.6968,402.3,32.1438,12.552
Bd3-1,25,2,Watered,Warm,287.1,46.4,2.6,2.2,Watered,98.874,332.27,27.1868,13.1448,212.03,75.775,287.8,26.7347,-31.8078,389.5,36.0408,10.8927
Bd3-1,25,2,Drought,Warm,441.6,446.3,730.1,78,Drought,86.8178,321.96,30.5611,44.2785,158.58,66.425,225,29.9478,-30.6395,391.02,28.8347,13.5893
Bd3-1,25,3,Watered,Warm,477.4,43,20.9,0,Watered,99.0539,374.33,25.8342,7.8476,182.28,49.1,231.38,21.25,-32.6372,383.12,36.6662,10.4676
Bd3-1,25,3,Drought,Warm,427.5,544.5,3386.7,854.4,Drought,86.8178,321.96,30.5611,44.2785,158.58,66.425,225,29.9478,-30.6395,391.02,28.8347,13.5893
BdTR10c,26,1,Watered,Mesic,196.7,36.9,0,0,Watered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BdTR10c,26,1,Drought,Mesic,242.1,214.3,471.6,66.8,Drought,93.1128,277.44,29.1343,61.7782,131.55,52.475,184.02,28.5702,-30.7721,403.39,29.1462,14.0575
BdTR10c,26,2,Watered,Mesic,232,65,25.5,0,Watered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BdTR10c,26,2,Drought,Mesic,380.8,122.7,284.2,82,Drought,93.1128,277.44,29.1343,61.7782,131.55,52.475,184.02,28.5702,-30.7721,403.39,29.1462,14.0575
BdTR10c,26,3,Watered,Mesic,223,29.9,1.3,0,Watered,99.8547,346.45,24.4013,9.2635,179.83,78.85,258.67,30.1185,-31.6498,390.6,34.091,11.4878
BdTR10c,26,3,Drought,Mesic,603.2,483,1912.7,439.9,Drought,91.2539,307.27,27.9445,62.4874,114.12,57.2,171.33,33.5289,-30.65,402.13,31.7225,12.7066
BdTR10c,26,4,Watered,Mesic,177.4,56.1,7.1,3.5,Watered,99.8547,346.45,24.4013,9.2635,179.83,78.85,258.67,30.1185,-31.6498,390.6,34.091,11.4878
BdTR10c,26,4,Drought,Mesic,415.4,490.6,1028.6,187.7,Drought,91.2539,307.27,27.9445,62.4874,114.12,57.2,171.33,33.5289,-30.65,402.13,31.7225,12.7066
BdTR11g,27,1,Watered,Mesic,320.5,63,6.2,1.4,Watered,99.1281,342.14,28.9609,6.3157,170.22,60.925,231.15,26.2552,-31.9907,390.9,33.0382,12.0813
BdTR11g,27,1,Drought,Mesic,452.4,370.4,615.1,63.5,Drought,89.9507,294.07,31.8587,37.5698,120.03,60.225,180.25,33.1338,-31.1966,402.96,31.3896,12.8764
BdTR11g,27,2,Watered,Mesic,547,46.8,9.1,2.9,Watered,99.1281,342.14,28.9609,6.3157,170.22,60.925,231.15,26.2552,-31.9907,390.9,33.0382,12.0813
BdTR11g,27,2,Drought,Mesic,590.1,645.2,1214.5,215.9,Drought,89.9507,294.07,31.8587,37.5698,120.03,60.225,180.25,33.1338,-31.1966,402.96,31.3896,12.8764
BdTR11g,27,3,Watered,Mesic,373.6,78.3,51.5,22.4,Watered,99.2126,355.56,28.0629,6.6034,154.58,58.075,212.65,27.246,-32.1586,391.45,36.1167,10.867
BdTR11g,27,3,Drought,Mesic,479.7,522.4,607,65.4,Drought,95.3823,312.72,28.7297,15.1499,116.6,57.7,174.3,33.1039,-31.4914,400.42,34.3049,11.7522
BdTR11g,27,4,Watered,Mesic,314.6,49.3,3.6,2.1,Watered,99.2126,355.56,28.0629,6.6034,154.58,58.075,212.65,27.246,-32.1586,391.45,36.1167,10.867
BdTR11g,27,4,Drought,Mesic,466.4,280.8,135.7,37.8,Drought,95.3823,312.72,28.7297,15.1499,116.6,57.7,174.3,33.1039,-31.4914,400.42,34.3049,11.7522
BdTR11i,28,1,Watered,Mesic,274.4,30.1,2.8,2.1,Watered,99.1827,340.06,27.1923,7.462,187.9,68.55,256.45,26.5132,-31.4161,392.72,31.2194,12.9344
BdTR11i,28,1,Drought,Mesic,483.9,567.1,981.6,139.8,Drought,89.3787,295.88,32.3145,63.7474,126.55,57.3,183.85,31.4774,-31.1197,399.71,30.9229,12.9344
BdTR11i,28,2,Watered,Mesic,230.3,39.3,4.2,1.4,Watered,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BdTR11i,28,2,Drought,Mesic,505.6,651,1554.8,175.1,Drought,89.3787,295.88,32.3145,63.7474,126.55,57.3,183.85,31.4774,-31.1197,399.71,30.9229,12.9344
BdTR11i,28,3,Watered,Mesic,258.1,27.6,4,2.2,Watered,98.712,364.69,26.6228,7.9247,133.58,51.275,184.85,27.554,-32.162,380.52,38.5626,9.9428
BdTR11i,28,3,Drought,Mesic,708.1,680.3,833.4,135.7,Drought,94.9355,306.93,30.6664,24.7061,121.07,52.35,173.43,30.7026,-31.104,399.6,33.201,12.1142
BdTR11i,28,4,Watered,Mesic,443.8,72.9,8.3,5.2,Watered,98.712,364.69,26.6228,7.9247,133.58,51.275,184.85,27.554,-32.162,380.52,38.5626,9.9428
BdTR11i,28,4,Drought,Mesic,429.9,314.4,305.8,46.7,Drought,94.9355,306.93,30.6664,24.7061,121.07,52.35,173.43,30.7026,-31.104,399.6,33.201,12.1142
BdTR13a,30,1,Watered,Mesic,345.6,79.5,5.7,0,Watered,98.952,312.12,29.7385,9.0134,132.82,50.4,183.23,27.7306,-32.1181,385.73,36.5552,10.5869
BdTR13a,30,1,Drought,Mesic,382,213.3,110.5,41.8,Drought,92.1344,297.05,30.5101,27.5649,104.93,44.75,149.67,30.0713,-31.4933,394.35,35.1597,11.2545
BdTR13a,30,2,Watered,Mesic,324,45.8,2.6,2.6,Watered,98.952,312.12,29.7385,9.0134,132.82,50.4,183.23,27.7306,-32.1181,385.73,36.5552,10.5869
BdTR13a,30,2,Drought,Mesic,369.6,249.2,130.1,69.2,Drought,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BdTR13a,30,3,Watered,Mesic,213.6,23.8,6.7,0,Watered,99.2984,358.92,26.589,6.1106,127.58,47.95,175.53,27.1558,-32.0346,401.71,39.5929,10.1458
BdTR13a,30,3,Drought,Mesic,363.5,160,95.3,31.8,Drought,94.9504,299.69,29.8083,16.802,99.975,54,153.98,34.9891,-31.1377,402.13,33.0339,12.2083
BdTR13a,30,4,Watered,Mesic,310.6,30.7,14.6,3.8,Watered,99.2984,358.92,26.589,6.1106,127.58,47.95,175.53,27.1558,-32.0346,401.71,39.5929,10.1458
BdTR13a,30,4,Drought,Mesic,1347.2,930.2,735.4,270.3,Drought,94.9504,299.69,29.8083,16.802,99.975,54,153.98,34.9891,-31.1377,402.13,33.0339,12.2083
BdTR1i,31,1,Watered,Mesic,274.8,23.6,2.5,0,Watered,98.5431,310.66,24.9114,10.1893,147.75,54.4,202.15,25.0125,-30.7296,396.33,33.834,11.7319
BdTR1i,31,1,Drought,Mesic,639.7,788,1133.3,488.1,Drought,90.9792,285.17,28.2368,54.0095,128.2,55.85,184.05,29.9311,-30.355,401.84,30.8815,13.0362
BdTR1i,31,2,Watered,Mesic,375.1,48.1,5.9,3.8,Watered,98.5431,310.66,24.9114,10.1893,147.75,54.4,202.15,25.0125,-30.7296,396.33,33.834,11.7319
BdTR1i,31,2,Drought,Mesic,315.7,191.5,199.9,73.1,Drought,90.9792,285.17,28.2368,54.0095,128.2,55.85,184.05,29.9311,-30.355,401.84,30.8815,13.0362
BdTR1i,31,3,Watered,Mesic,409.4,34.5,9,3.3,Watered,98.4507,310.13,26.3632,12.4554,196.35,77.3,273.65,28.3002,-31.4978,383.39,37.4971,10.2676
BdTR1i,31,3,Drought,Mesic,579.7,591.8,246.9,79,Drought,92.2691,298.73,27.4487,30.9165,137.37,79.3,216.68,36.5266,-30.3089,401.02,31.1322,12.9409
